dpl,dpg,dpu
0.0944061,0.1,0.10583
0.10583,0.112,0.118794
0.118794,0.126,0.133289
0.133289,0.141,0.149258
0.149258,0.158,0.167702
0.167702,0.178,0.18868
0.18868,0.2,0.21166
0.21166,0.224,0.237116
0.237116,0.251,0.266049
0.266049,0.282,0.298516
0.298516,0.316,0.334933
0.334933,0.355,0.375886
0.375886,0.398,0.421789
0.421789,0.447,0.47323
0.47323,0.501,0.530624
0.530624,0.562,0.595501
0.595501,0.631,0.668392
0.668392,0.708,0.749768
0.749768,0.794,0.841103
0.841103,0.891,0.943928
0.943928,1,1.12205
1.12205,1.259,1.41263
1.41263,1.585,1.77822
1.77822,1.995,2.23862
2.23862,2.512,2.81832
2.81832,3.162,3.54782
