dpl,dpg,dpu
0.00297,0.00316,0.00336
0.00336,0.00355,0.00376
0.00376,0.00398,0.00422
0.00422,0.00447,0.00474
0.00474,0.00501,0.00532
0.00532,0.00562,0.00597
0.00597,0.00631,0.00669
0.00669,0.00708,0.00751
0.00751,0.00794,0.00843
0.00843,0.00891,0.00946
0.00946,0.01,0.0106
0.0106,0.0112,0.0119
0.0119,0.0126,0.0134
0.0134,0.0141,0.015
0.015,0.0158,0.0168
0.0168,0.0178,0.0189
0.0189,0.02,0.0212
0.0212,0.0224,0.0238
0.0238,0.0251,0.0267
0.0267,0.0282,0.0299
0.0299,0.0316,0.0336
0.0336,0.0355,0.0376
0.0376,0.0398,0.0422
0.0422,0.0447,0.0474
0.0474,0.0501,0.0532
0.0532,0.0562,0.0597
0.0597,0.0631,0.0669
0.0669,0.0708,0.0751
0.0751,0.0794,0.0843
0.0843,0.0891,0.094
