dpl,dpg,dpu
0.00986704,0.0102,0.0105442
0.0105442,0.0109,0.0113411
0.0113411,0.0118,0.0121934
0.0121934,0.0126,0.0130905
0.0130905,0.0136,0.0140911
0.0140911,0.0146,0.01514
0.01514,0.0157,0.016289
0.016289,0.0169,0.0174897
0.0174897,0.0181,0.018787
0.018787,0.0195,0.0201879
0.0201879,0.0209,0.0216852
0.0216852,0.0225,0.0233345
0.0233345,0.0242,0.0250839
0.0250839,0.026,0.0269333
0.0269333,0.0279,0.028931
0.028931,0.03,0.0310805
0.0310805,0.0322,0.0333784
0.0333784,0.0346,0.0358765
0.0358765,0.0372,0.0385746
0.0385746,0.04,0.0414729
0.0414729,0.043,0.0445713
0.0445713,0.0462,0.0478698
0.0478698,0.0496,0.0514167
0.0514167,0.0533,0.0552638
0.0552638,0.0573,0.0593629
0.0593629,0.0615,0.0637585
0.0637585,0.0661,0.0685544
0.0685544,0.0711,0.0737024
0.0737024,0.0764,0.0791987
0.0791987,0.0821,0.0850954
0.0850954,0.0882,0.0914405
0.0914405,0.0948,0.0982859
0.0982859,0.1019,0.105632
0.105632,0.1095,0.113478
0.113478,0.1176,0.121921
0.121921,0.1264,0.131016
0.131016,0.1358,0.140808
0.140808,0.146,0.151304
0.151304,0.1568,0.162545
0.162545,0.1685,0.174686
0.174686,0.1811,0.187729
0.187729,0.1946,0.201768
0.201768,0.2092,0.21686
0.21686,0.2248,0.233
0.233,0.2415,0.250338
0.250338,0.2595,0.268977
0.268977,0.2788,0.289013
0.289013,0.2996,0.310575
