dpl,dpg,dpu
0.0600239,0.061,0.0619919
0.0619919,0.063,0.063498
0.063498,0.064,0.0649923
0.0649923,0.066,0.0669925
0.0669925,0.068,0.0689928
0.0689928,0.07,0.070993
0.070993,0.072,0.0729932
0.0729932,0.074,0.0749933
0.0749933,0.076,0.0774855
0.0774855,0.079,0.0799937
0.0799937,0.081,0.0819939
0.0819939,0.083,0.0844867
0.0844867,0.086,0.0869943
0.0869943,0.088,0.0894874
0.0894874,0.091,0.0919946
0.0919946,0.093,0.0944881
0.0944881,0.096,0.0974885
0.0974885,0.099,0.100489
0.100489,0.102,0.102995
0.102995,0.104,0.105489
0.105489,0.107,0.108982
0.108982,0.111,0.11249
0.11249,0.114,0.11549
0.11549,0.117,0.118491
0.118491,0.12,0.121984
0.121984,0.124,0.125491
0.125491,0.127,0.128984
0.128984,0.131,0.132985
0.132985,0.135,0.136985
0.136985,0.139,0.140986
0.140986,0.143,0.144986
0.144986,0.147,0.148987
0.148987,0.151,0.152987
0.152987,0.155,0.15748
0.15748,0.16,0.162481
0.162481,0.165,0.166988
0.166988,0.169,0.171482
0.171482,0.174,0.176482
0.176482,0.179,0.181483
0.181483,0.184,0.186976
0.186976,0.19,0.192484
0.192484,0.195,0.197977
0.197977,0.201,0.203978
0.203978,0.207,0.209979
0.209979,0.213,0.215979
0.215979,0.219,0.22198
0.22198,0.225,0.22798
0.22798,0.231,0.234474
0.234474,0.238,0.241475
0.241475,0.245,0.248475
0.248475,0.252,0.255476
0.255476,0.259,0.26297
0.26297,0.267,0.270477
0.270477,0.274,0.277971
0.277971,0.282,0.286465
0.286465,0.291,0.294973
0.294973,0.299,0.303467
0.303467,0.308,0.311974
0.311974,0.316,0.320468
0.320468,0.325,0.329962
0.329962,0.335,0.339963
0.339963,0.345,0.349471
0.349471,0.354,0.359458
0.359458,0.365,0.369966
0.369966,0.375,0.38046
0.38046,0.386,0.391461
0.391461,0.397,0.402955
0.402955,0.409,0.414464
0.414464,0.42,0.425958
0.425958,0.432,0.438452
0.438452,0.445,0.451453
0.451453,0.458,0.464455
0.464455,0.471,0.477949
0.477949,0.485,0.49195
0.49195,0.499,0.505952
0.505952,0.513,0.520446
0.520446,0.528,0.535447
0.535447,0.543,0.550942
0.550942,0.559,0.566944
0.566944,0.575,0.582945
0.582945,0.591,0.59944
0.59944,0.608,0.616934
0.616934,0.626,0.634936
0.634936,0.644,0.652938
0.652938,0.662,0.671433
0.671433,0.681,0.690928
0.690928,0.701,0.71093
0.71093,0.721,0.731425
0.731425,0.742,0.752427
0.752427,0.763,0.773922
0.773922,0.785,0.796417
0.796417,0.808,0.819419
0.819419,0.831,0.842915
0.842915,0.855,0.86741
0.86741,0.88,0.892412
0.892412,0.905,0.918401
0.918401,0.932,0.945801
