dpl,dpg,dpu
0.00944061,0.01,0.0105925
0.0105735,0.0112,0.0118636
0.0118952,0.0126,0.0133466
0.0133113,0.0141,0.0149355
0.0149162,0.0158,0.0167362
0.0168043,0.0178,0.0188547
0.0188812,0.02,0.0211851
0.021147,0.0224,0.0237273
0.0236959,0.0251,0.0265873
0.0266225,0.0282,0.029871
0.0298323,0.0316,0.0334724
0.0335142,0.0355,0.0376035
0.0375736,0.0398,0.0421583
0.0421995,0.0447,0.0473486
0.0472974,0.0501,0.0530686
0.0530562,0.0562,0.0595301
0.0595702,0.0631,0.0668389
0.0668395,0.0708,0.0749952
0.0749584,0.0794,0.0841047
0.0841158,0.0891,0.0943795
0.0944061,0.1,0.105925
0.105924,0.1122,0.118848
0.118857,0.1259,0.13336
0.133396,0.1413,0.149673
0.149634,0.1585,0.167892
0.167854,0.1778,0.188335
0.18834,0.1995,0.211321
0.211375,0.2239,0.237167
0.237148,0.2512,0.266085
0.266036,0.2818,0.298498
