dpl,dpg,dpu
0.0101185,0.011,0.0119583
0.0119583,0.013,0.0134907
0.0134907,0.014,0.0149666
0.0149666,0.016,0.0169706
0.0169706,0.018,0.0189737
0.0189737,0.02,0.0209762
0.0209762,0.022,0.0234521
0.0234521,0.025,0.0264575
0.0264575,0.028,0.0299333
0.0299333,0.032,0.0334664
0.0334664,0.035,0.0374166
0.0374166,0.04,0.0424264
0.0424264,0.045,0.0474342
0.0474342,0.05,0.052915
0.052915,0.056,0.059397
0.059397,0.063,0.0668805
0.0668805,0.071,0.0748933
0.0748933,0.079,0.0838511
0.0838511,0.089,0.0943398
0.0943398,0.1,0.10583
0.10583,0.112,0.118794
0.118794,0.126,0.133289
0.133289,0.141,0.149258
0.149258,0.158,0.167702
0.167702,0.178,0.18868
0.18868,0.2,0.21166
0.21166,0.224,0.237116
0.237116,0.251,0.266049
0.266049,0.282,0.298516
0.298516,0.316,0.334508
