date,shift_group,alignment_variable,n_valid,optimal_shift_s,peak_r,peak_r_raw,zero_lag_r,peak_margin,second_peak_r,monotonic_halfwidth_s,left_halfwidth_s,right_halfwidth_s,concavity_fraction,decision,reason,n_vars_shifted
2022-01-11,AMS,Aerodyne_High-Resolution_Time-of-Flight_Mass_Spectrometer_SO4_Ave_IsoK_STP,15050,2.0,0.926,0.9269,0.9255,0.0021,0.9239,28.0,32.0,28.0,1.0,SHIFT,,14
2022-01-11,AMS-CVI,Aerodyne_High-Resolution_Time-of-Flight_Mass_Spectrometer_SO4_frac_CVI,286,-30.0,0.4721,0.5057,-0.1203,0.1159,0.3562,0.0,0.0,23.0,1.0,SKIP,n_valid=286<300; monotonic_halfwidth_s<5,0
2022-01-11,CCN,In-situ_Cloud_Condensation_Nuclei_Concentrations_From_the_DMT_CCN_Counter_on_the_NASA_HU-25_Falcon_N_CCN_stdPT,27092,14.0,0.7353,0.7421,0.6968,0.0148,0.7204,16.0,44.0,16.0,0.5238,SHIFT,,2
2022-01-11,Optical,In-situ_optical_aerosol_measurements_from_the_NASA_HU-25_Sc550_submicron,17219,-3.0,0.644,0.6615,0.6325,0.0489,0.5951,27.0,27.0,33.0,0.8095,SHIFT,,20
2022-01-12,AMS,Aerodyne_High-Resolution_Time-of-Flight_Mass_Spectrometer_SO4_Ave_IsoK_STP,18077,6.0,0.5816,0.582,0.58,0.0016,0.58,24.0,36.0,24.0,1.0,SHIFT,,14
2022-01-12,AMS-CVI,Aerodyne_High-Resolution_Time-of-Flight_Mass_Spectrometer_SO4_frac_CVI,180,30.0,0.1087,0.127,-0.026,0.0461,0.0627,0.0,13.0,0.0,0.7273,SKIP,n_valid=180<300; peak_r<0.2; monotonic_halfwidth_s<5,0
2022-01-12,CCN,In-situ_Cloud_Condensation_Nuclei_Concentrations_From_the_DMT_CCN_Counter_on_the_NASA_HU-25_Falcon_N_CCN_stdPT,28131,14.0,0.8224,0.8235,0.8124,0.0025,0.8199,16.0,44.0,16.0,0.8571,SHIFT,,2
2022-01-12,Optical,In-situ_optical_aerosol_measurements_from_the_NASA_HU-25_Sc550_submicron,21794,-1.0,0.6789,0.6833,0.6786,0.0125,0.6664,29.0,29.0,31.0,0.9048,SHIFT,,20
2022-01-15,AMS,Aerodyne_High-Resolution_Time-of-Flight_Mass_Spectrometer_SO4_Ave_IsoK_STP,8129,6.0,0.7511,0.7521,0.7453,0.0044,0.7466,24.0,36.0,24.0,1.0,SHIFT,,14
2022-01-15,AMS-CVI,Aerodyne_High-Resolution_Time-of-Flight_Mass_Spectrometer_SO4_frac_CVI,311,-30.0,-0.0821,-0.0642,-0.2226,0.0161,-0.0982,0.0,0.0,11.0,0.3636,SKIP,peak_r<0.2; monotonic_halfwidth_s<5,0
2022-01-15,CCN,In-situ_Cloud_Condensation_Nuclei_Concentrations_From_the_DMT_CCN_Counter_on_the_NASA_HU-25_Falcon_N_CCN_stdPT,12944,13.0,0.333,0.3443,0.2583,0.0287,0.3043,17.0,43.0,17.0,0.7143,SHIFT,,2
2022-01-15,Optical,In-situ_optical_aerosol_measurements_from_the_NASA_HU-25_Sc550_submicron,13027,-2.0,0.3619,0.3687,0.3587,0.0199,0.342,28.0,28.0,32.0,0.9048,SHIFT,,20
2022-01-18,AMS,Aerodyne_High-Resolution_Time-of-Flight_Mass_Spectrometer_SO4_Ave_IsoK_STP,16670,4.0,0.7968,0.7978,0.7954,0.0033,0.7935,26.0,34.0,26.0,1.0,SHIFT,,14
2022-01-18,AMS-CVI,Aerodyne_High-Resolution_Time-of-Flight_Mass_Spectrometer_SO4_frac_CVI,183,30.0,-0.1322,-0.0984,-0.3086,0.0049,-0.1371,0.0,9.0,0.0,0.4545,SKIP,n_valid=183<300; peak_r<0.2; monotonic_halfwidth_s<5,0
2022-01-18,CCN,In-situ_Cloud_Condensation_Nuclei_Concentrations_From_the_DMT_CCN_Counter_on_the_NASA_HU-25_Falcon_N_CCN_stdPT,28726,12.0,0.3516,0.3667,0.2718,0.0289,0.3227,18.0,42.0,18.0,0.5714,SHIFT,,2
2022-01-18,Optical,In-situ_optical_aerosol_measurements_from_the_NASA_HU-25_Sc550_submicron,28806,-2.0,0.5042,0.5139,0.4999,0.034,0.4702,28.0,28.0,32.0,0.9048,SHIFT,,20
2022-01-19,AMS,Aerodyne_High-Resolution_Time-of-Flight_Mass_Spectrometer_SO4_Ave_IsoK_STP,18742,8.0,0.3964,0.397,0.3931,0.0015,0.395,22.0,38.0,22.0,1.0,SHIFT,,14
2022-01-19,AMS-CVI,Aerodyne_High-Resolution_Time-of-Flight_Mass_Spectrometer_SO4_frac_CVI,195,1.0,0.2764,0.3531,0.2645,0.1021,0.1742,15.0,15.0,29.0,0.5238,SKIP,n_valid=195<300,0
2022-01-19,CCN,In-situ_Cloud_Condensation_Nuclei_Concentrations_From_the_DMT_CCN_Counter_on_the_NASA_HU-25_Falcon_N_CCN_stdPT,22902,13.0,0.4575,0.4592,0.4456,0.0045,0.453,17.0,43.0,17.0,0.7143,SHIFT,,2
2022-01-19,Optical,In-situ_optical_aerosol_measurements_from_the_NASA_HU-25_Sc550_submicron,22834,-2.0,0.5191,0.5238,0.5166,0.0131,0.5059,28.0,28.0,32.0,0.9048,SHIFT,,20
