variable,apply_time_shift,shift_group,alignment_variable,instrument,rationale,in_2020,in_2021
Aerodyne_High-Resolution_Time-of-Flight_Mass_Spectrometer_Chl_Ave_IsoK_STP,YES,AMS,Aerodyne_High-Resolution_Time-of-Flight_Mass_Spectrometer_SO4_Ave_IsoK_STP,AMS,"Aerosol mass spectrometer - composition-dependent, own ICARTT file clock",Y,
Aerodyne_High-Resolution_Time-of-Flight_Mass_Spectrometer_Chl_frac_CVI,YES,AMS-CVI,Aerodyne_High-Resolution_Time-of-Flight_Mass_Spectrometer_SO4_frac_CVI,AMS,"AMS behind CVI inlet - composition-dependent, own ICARTT file clock",Y,
Aerodyne_High-Resolution_Time-of-Flight_Mass_Spectrometer_Duration_CVI_secs,YES,AMS-CVI,Aerodyne_High-Resolution_Time-of-Flight_Mass_Spectrometer_SO4_frac_CVI,AMS,"AMS behind CVI inlet - composition-dependent, own ICARTT file clock",Y,
Aerodyne_High-Resolution_Time-of-Flight_Mass_Spectrometer_NH4_Ave_IsoK_STP,YES,AMS,Aerodyne_High-Resolution_Time-of-Flight_Mass_Spectrometer_SO4_Ave_IsoK_STP,AMS,"Aerosol mass spectrometer - composition-dependent, own ICARTT file clock",Y,
Aerodyne_High-Resolution_Time-of-Flight_Mass_Spectrometer_NH4_frac_CVI,YES,AMS-CVI,Aerodyne_High-Resolution_Time-of-Flight_Mass_Spectrometer_SO4_frac_CVI,AMS,"AMS behind CVI inlet - composition-dependent, own ICARTT file clock",Y,
Aerodyne_High-Resolution_Time-of-Flight_Mass_Spectrometer_NO3_Ave_IsoK_STP,YES,AMS,Aerodyne_High-Resolution_Time-of-Flight_Mass_Spectrometer_SO4_Ave_IsoK_STP,AMS,"Aerosol mass spectrometer - composition-dependent, own ICARTT file clock",Y,
Aerodyne_High-Resolution_Time-of-Flight_Mass_Spectrometer_NO3_frac_CVI,YES,AMS-CVI,Aerodyne_High-Resolution_Time-of-Flight_Mass_Spectrometer_SO4_frac_CVI,AMS,"AMS behind CVI inlet - composition-dependent, own ICARTT file clock",Y,
Aerodyne_High-Resolution_Time-of-Flight_Mass_Spectrometer_Org_Ave_IsoK_STP,YES,AMS,Aerodyne_High-Resolution_Time-of-Flight_Mass_Spectrometer_SO4_Ave_IsoK_STP,AMS,"Aerosol mass spectrometer - composition-dependent, own ICARTT file clock",Y,
Aerodyne_High-Resolution_Time-of-Flight_Mass_Spectrometer_Org_frac_CVI,YES,AMS-CVI,Aerodyne_High-Resolution_Time-of-Flight_Mass_Spectrometer_SO4_frac_CVI,AMS,"AMS behind CVI inlet - composition-dependent, own ICARTT file clock",Y,
Aerodyne_High-Resolution_Time-of-Flight_Mass_Spectrometer_SO4_Ave_IsoK_STP,YES,AMS,Aerodyne_High-Resolution_Time-of-Flight_Mass_Spectrometer_SO4_Ave_IsoK_STP,AMS,"Aerosol mass spectrometer - composition-dependent, own ICARTT file clock",Y,
Aerodyne_High-Resolution_Time-of-Flight_Mass_Spectrometer_SO4_frac_CVI,YES,AMS-CVI,Aerodyne_High-Resolution_Time-of-Flight_Mass_Spectrometer_SO4_frac_CVI,AMS,"AMS behind CVI inlet - composition-dependent, own ICARTT file clock",Y,
Aerodyne_High-Resolution_Time-of-Flight_Mass_Spectrometer_mz42_Ave_IsoK_STP,YES,AMS,Aerodyne_High-Resolution_Time-of-Flight_Mass_Spectrometer_SO4_Ave_IsoK_STP,AMS,"Aerosol mass spectrometer - composition-dependent, own ICARTT file clock",Y,
Aerodyne_High-Resolution_Time-of-Flight_Mass_Spectrometer_mz42_ORGfrac_CVI,YES,AMS-CVI,Aerodyne_High-Resolution_Time-of-Flight_Mass_Spectrometer_SO4_frac_CVI,AMS,"AMS behind CVI inlet - composition-dependent, own ICARTT file clock",Y,
